                                       LAB       EX1       EX2       
                                        3         6         7         
                                        4         9         9         
                                        4         7         7         
                                        5         8         6         
                                        5         7         9         
                                        5         7         6         
                                        5         9         6         
                                        5         9         6         
                                        5         7         7         
                                        5         8         8         
                                        6         4         7         
                                        6         9         7         
                                        6         8         6         
                                        6         7         9         
                                        6         8         6         
                                        6         8         9         
                                        7         5         8         
                                        7         5         9         
                                        7         5         9         
                                        7         7         9         
                                        7         10        5         
                                        8         8         6         
                                        8         7         5         
                                        8         7         5         
                                        8         5         9         
                                        8         6         7         
                                        8         6         9         
                                        10        6         8         
