                                       LAB       EX1       EX2       
                                        4         9         9         
                                        3         6         7         
                                        6         4         7         
                                        8         8         6         
                                        6         9         7         
                                        9         6         8         
                                        8         7         5         
                                        7         5         8         
                                        6         8         6         
                                        6         7         9         
                                        7         5         9         
                                        8         7         5         
                                        8         5         9         
                                        6         8         6         
                                        4         7         7         
                                        10        6         8         
                                        7         5         9         
                                        7         7         9         
                                        8         6         7         
                                        7         10        5         
                                        8         6         9         
                                        6         8         9         
