                                                           REPORTE DE EMPRESA TP
================================================================================
PERIODO                                 PICO                                    
--------------------------------------------------------------------------------
1867                                    91                                      
1869                                    64                                      
1872                                    92                                      
1886                                    93                                      
1893                                    91                                      
1896                                    41                                      
1901                                    78                                      
1902                                    38                                      
1905                                    89                                      
1907                                    75                                      
1908                                    73                                      
1922                                    67                                      
1925                                    53                                      
1927                                    57                                      
1930                                    68                                      
1933                                    78                                      
1934                                    65                                      
1943                                    100                                     
1946                                    84                                      
1947                                    23                                      
1956                                    41                                      
1962                                    71                                      
1966                                    93                                      
1971                                    58                                      
1972                                    50                                      
1978                                    45                                      
1979                                    78                                      
1980                                    77                                      
1987                                    25                                      
1994                                    87                                      
2000                                    56                                      
2007                                    98                                      
2009                                    99                                      
--------------------------------------------------------------------------------
MAYOR PICO: El mayor fue: 1943 con 100 millones.
