CODIGO                   CANTIDAD                 PRECIO                   INGRESO BRUTO            TIENE DESCUENTO          DESCUENTO                INGRESO TOTAL            
====================================================================================================================================================================================
90766                    67                       25.90                    1735.30                  0                        13.60                    1735.16                  
90758                    53                       25.90                    1372.70                  1                        7.08                     1372.63                  
90365                    22                       25.90                    569.80                   0                        17.39                    569.63                   
77971                    63                       23.90                    1505.70                  0                        8.90                     1505.61                  
77910                    170                      22.90                    3893.00                  0                        17.72                    3892.82                  
77894                    26                       32.90                    855.40                   1                        5.74                     855.34                   
77762                    20                       23.90                    478.00                   0                        5.74                     477.94                   
77703                    81                       24.90                    2016.90                  0                        5.90                     2016.84                  
77691                    32                       23.90                    764.80                   0                        14.48                    764.66                   
77690                    79                       32.90                    2599.10                  0                        13.99                    2598.96                  
77606                    106                      24.90                    2639.40                  1                        19.98                    2639.20                  
77572                    101                      18.90                    1908.90                  0                        17.72                    1908.72                  
77549                    71                       18.90                    1341.90                  1                        19.71                    1341.70                  
77493                    199                      23.90                    4756.10                  1                        12.78                    4755.97                  
77487                    88                       24.90                    2191.20                  1                        9.72                     2191.10                  
77419                    4                        31.90                    127.60                   0                        10.57                    127.49                   
77381                    131                      32.90                    4309.90                  0                        14.80                    4309.75                  
77214                    58                       22.90                    1328.20                  0                        12.78                    1328.07                  
77156                    54                       22.90                    1236.60                  1                        13.52                    1236.46                  
73500                    77                       12.90                    993.30                   0                        10.81                    993.19                   
73428                    121                      19.50                    2359.50                  0                        7.19                     2359.43                  
73410                    32                       12.90                    412.80                   0                        13.99                    412.66                   
55338                    61                       22.90                    1396.90                  1                        9.46                     1396.81                  
55330                    64                       24.90                    1593.60                  1                        6.30                     1593.54                  
53991                    42                       3.90                     163.80                   0                        9.72                     163.70                   
53957                    23                       10.90                    250.70                   0                        19.63                    250.50                   
53939                    39                       4.90                     191.10                   0                        13.52                    190.96                   
53814                    120                      9.90                     1188.00                  1                        10.91                    1187.89                  
53764                    43                       6.90                     296.70                   1                        10.57                    296.59                   
53760                    33                       6.90                     227.70                   1                        10.76                    227.59                   
53546                    85                       9.90                     841.50                   1                        7.19                     841.43                   
53518                    183                      15.90                    2909.70                  0                        13.52                    2909.56                  
53502                    22                       15.90                    349.80                   1                        10.81                    349.69                   
53477                    36                       15.90                    572.40                   1                        13.60                    572.26                   
53377                    125                      3.90                     487.50                   0                        7.47                     487.43                   
53265                    208                      12.90                    2683.20                  0                        18.60                    2683.01                  
39987                    21                       15.50                    325.50                   0                        19.04                    325.31                   
39955                    196                      73.90                    14484.40                 1                        14.83                    14484.25                 
39903                    78                       10.50                    819.00                   1                        13.99                    818.86                   
39896                    9                        128.90                   1160.10                  0                        10.52                    1159.99                  
39864                    44                       7.00                     308.00                   1                        10.52                    307.89                   
39851                    96                       73.90                    7094.40                  1                        16.73                    7094.23                  
39810                    28                       71.90                    2013.20                  0                        11.82                    2013.08                  
39747                    73                       7.00                     511.00                   1                        9.03                     510.91                   
39738                    105                      18.90                    1984.50                  0                        11.82                    1984.38                  
39695                    164                      36.90                    6051.60                  1                        19.63                    6051.40                  
39584                    181                      15.50                    2805.50                  1                        13.44                    2805.37                  
39536                    206                      15.50                    3193.00                  0                        8.70                     3192.91                  
39489                    45                       7.00                     315.00                   0                        6.30                     314.94                   
39475                    66                       71.90                    4745.40                  1                        18.66                    4745.21                  
39442                    30                       21.90                    657.00                   1                        11.88                    656.88                   
39431                    167                      12.50                    2087.50                  1                        11.05                    2087.39                  
39265                    132                      49.90                    6586.80                  1                        8.70                     6586.71                  
39227                    91                       7.00                     637.00                   0                        8.70                     636.91                   
39199                    102                      10.50                    1071.00                  0                        11.88                    1070.88                  
39160                    179                      15.50                    2774.50                  1                        17.39                    2774.33                  
39141                    57                       21.90                    1248.30                  1                        6.80                     1248.23                  
39137                    60                       12.00                    720.00                   0                        10.91                    719.89                   
31815                    95                       30.90                    2935.50                  0                        7.19                     2935.43                  
31796                    40                       31.90                    1276.00                  1                        19.94                    1275.80                  
31644                    40                       33.90                    1356.00                  0                        13.60                    1355.86                  
15950                    63                       43.90                    2765.70                  1                        8.90                     2765.61                  
15945                    19                       48.90                    929.10                   0                        14.48                    928.96                   
15926                    22                       49.90                    1097.80                  1                        5.90                     1097.74                  
15921                    47                       29.50                    1386.50                  1                        16.09                    1386.34                  
15864                    102                      32.50                    3315.00                  1                        16.73                    3314.83                  
