                                                                         LISTAS DE REPRODUCCION DE SPOTIFY
                             ARTISTA                             CANCION                      REPRODUCCIONES                            BAILABLE
                              *NSYNC                         Bye Bye Bye                              200560                               0.614
                              *NSYNC                    It's Gonna Be Me                              191040                               0.644
                              *NSYNC                                Gone                              292000                               0.699
                              *NSYNC                          Girlfriend                              253600                               0.745
                                 112                       It's Over Now                              264933                                0.66
                                 112                     Peaches & Cream                              193093                               0.677
                            2 Chainz                           We Own It                              227906                               0.563
                            2 Chainz                         It's A Vibe                              210200                               0.822
                           21 Savage                        Bank Account                              220306                               0.884
                           21 Savage                               a lot                              288624                               0.837
                                2Pac               Until The End Of Time                              266506                               0.757
                                2Pac                       Ghetto Gospel                              238053                               0.794
                        3 Doors Down                    It's Not My Time                              241960                               0.529
                        3 Doors Down                       When I'm Gone                              260333                                0.53
                        3 Doors Down                    Here Without You                              238733                               0.557
                        3 Doors Down                          Kryptonite                              233933                               0.545
                        3 Doors Down                           Let Me Go                              243053                               0.478
                                 3LW                             No More                              263440                               0.721
                               3OH!3                          Starstrukk                              203093                               0.605
                               3OH!3                       My First Kiss                              192440                               0.682
                               3OH!3                         DONTTRUSTME                              192573                               0.791
                 5 Seconds of Summer                          Youngblood                              203417                               0.596
                 5 Seconds of Summer                She Looks So Perfect                              202496                               0.494
                 5 Seconds of Summer                              Easier                              157492                               0.505
                             50 Cent                          Candy Shop                              209106                               0.614
                             50 Cent                      Just A Lil Bit                              237706                               0.489
                             50 Cent                       Disco Inferno                              214226                               0.925
                             50 Cent                       Outta Control                              247506                               0.772
                             50 Cent                             Wanksta                              219400                               0.802
                             50 Cent                        21 Questions                              224440                               0.646
                             50 Cent                      Ayo Technology                              247946                                0.63
                             50 Cent                          In Da Club                              193466                               0.899
                             50 Cent                            P.I.M.P.                              249480                               0.712
                             6ix9ine                               GUMMO                              157643                                0.66
                             6ix9ine                                FEFE                              179404                               0.931
                            99 Souls                    The Girl Is Mine                              216613                               0.683
              A Boogie Wit da Hoodie                             Swervin                              189486                               0.581
              A Boogie Wit da Hoodie                            Drowning                              209269                               0.839
              A Boogie Wit da Hoodie                     Look Back at It                              179449                               0.791
                           A$AP Ferg                          Plain Jane                              173600                               0.797
                          A$AP Rocky                    F**kin' Problems                              233786                               0.853
                         A.R. Rahman                             Jai Ho!                              222400                               0.657
                                  A1                Caught in the Middle                              206466                               0.519
                           AJ Tracey                      Ladbroke Grove                              190537                               0.903
                                 AJR                                Weak                              201160                               0.673
                          AWOLNATION                                Sail                              259102                               0.825
                             Aaliyah                           Try Again                              284000                               0.797
                             Aaliyah                            Miss You                              245240                               0.602
                             Aaliyah                       Rock The Boat                              275026                               0.641
                             Aaliyah                   More Than A Woman                              230346                               0.646
                        Adam Lambert                Whataya Want from Me                              227320                               0.438
                        Adam Lambert                          Ghost Town                              208330                               0.703
                               Adele                       Rumour Has It                              223266                               0.612
                               Adele                   Chasing Pavements                              210506                               0.614
                               Adele                 Rolling in the Deep                              228093                                0.73
                               Adele                Set Fire to the Rain                              242973                               0.603
                               Adele                    Someone Like You                              285240                               0.554
                               Adele                             Skyfall                              286480                               0.346
                               Adele                               Hello                              295502                               0.471
                             Afroman                  Because I Got High                              197760                               0.802
                               Agnes                          Release Me                              256213                               0.621
                                Akon                          Smack That                              212360                                0.94
                                Akon                              Lonely                              235800                               0.629
                                Akon                    I Wanna Love You                              247066                               0.865
                                Akon                           Beautiful                              312986                                0.74
                                Akon                        Don't Matter                              293066                               0.801
                                Akon                           Right Now                              240746                                0.83
                                Akon                             Bananza                              238493                               0.878
                                Akon                           Locked Up                              235066                               0.818
                         Alan Walker                               Faded                              212106                               0.468
                   Alanis Morissette                         Hands Clean                              269400                               0.513
                       Alec Benjamin                  Let Me Down Slowly                              169353                               0.652
                        Alesha Dixon                The Boy Does Nothing                              210680                               0.632
                        Alessia Cara             Scars To Your Beautiful                              230226                               0.319
                        Alessia Cara                                Here                              199453                               0.376
                        Alessia Cara                                Here                              199453                               0.379
                              Alesso                              Heroes                              209866                               0.521
                              Alesso                               Years                              195480                                0.37
                       Alex & Sierra                  Little Do You Know                              185200                                 0.5
                          Alex Clare                           Too Close                              256613                               0.588
                        Alex Gaudino                Destination Calabria                              223111                               0.627
                     Alexandra Burke                            Bad Boys                              206480                                0.67
                     Alexandra Burke                          Hallelujah                              217826                               0.177
                      Alexandra Stan                        Mr. Saxobeat                              195105                               0.726
                        Alice Deejay                    Better Off Alone                              214883                               0.671
                         Alicia Keys     Empire State of MindBroken Down                              216480                               0.484
                         Alicia Keys              You Don't Know My Name                              366733                               0.264
                         Alicia Keys                              No One                              253813                               0.644
                         Alicia Keys                               Karma                              256000                               0.727
