                                                               EMPRESA DE RELACIONES A DOMICILIO TP S.A.
                                                                            RELACION DE PLATOS VENDIDOS
====================================================================================================================================================================================
                                                            CANTIDAD DE PLATOS                                          MONTOS RECAUDADOS                                           
CODIGO              PRECIO              PREPARADOS          ATENDIDOS           NO ATENDIDOS        DESCUENTO           ESPERADO            BRUTO               RECIBIDO            
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
53265               12.9                150                 150                 58                  272.6               2683.2              1935                1816.5              
77493               23.9                148                 147                 52                  594.03              4756.1              3513.3              2872.09             
39955               73.9                147                 145                 51                  753.94              14484.4             10715.5             8270.16             
39536               15.5                145                 137                 69                  266.34              3193                2123.5              1981.48             
39160               15.5                145                 135                 44                  831.14              2774.5              2092.5              1605.2              
39265               49.9                137                 125                 7                   432.37              6586.8              6237.5              5095.78             
39695               36.9                135                 119                 45                  707.78              6051.6              4391.1              3124.99             
15724               31.5                132                 119                 46                  162.46              5197.5              3748.5              3542.03             
77910               22.9                130                 117                 53                  265.22              3893                2679.3              2452.39             
39584               15.5                125                 116                 65                  775.27              2805.5              1798                1398.76             
53518               15.9                125                 105                 78                  271.74              2909.7              1669.5              1534.51             
15116               49.9                119                 103                 60                  396.13              8133.7              5139.7              4342.6              
77381               32.9                119                 102                 29                  150.03              4309.9              3355.8              3165.29             
39431               12.5                117                 100                 67                  555.13              2087.5              1250                1016.97             
15864               32.5                116                 97                  5                   583.97              3315                3152.5              2399.86             
15823               36.9                112                 84                  18                  149.07              3763.8              3099.6              2857.41             
77606               24.9                110                 82                  24                  320.26              2639.4              2041.8              1543.64             
11871               54.9                108                 80                  3                   230.36              4556.7              4392                3547.46             
15197               47.5                107                 78                  51                  485.56              6127.5              3705                3047.89             
53814               9.9                 105                 76                  44                  411.11              1188                752.4               631.689             
77487               24.9                103                 76                  12                  219.46              2191.2              1892.4              1630.11             
11850               53.9                102                 75                  1                   99.81               4096.4              4042.5              3683.67             
77572               18.9                101                 73                  28                  177.91              1908.9              1379.7              1215.75             
11751               8.9                 100                 73                  22                  111.14              845.5               649.7               608.401             
31815               30.9                99                  71                  24                  170.95              2935.5              2193.9              2046.02             
77703               24.9                97                  70                  11                  62.06               2016.9              1743                1662.2              
15950               43.9                97                  62                  1                   163.96              2765.7              2721.8              2390.45             
77214               22.9                93                  57                  1                   90.27               1328.2              1305.3              1189.76             
73500               12.9                93                  57                  20                  126.15              993.3               735.3               679.847             
11471               8.9                 92                  57                  63                  160.8               1068                507.3               468.758             
39475               71.9                91                  55                  11                  243.34              4745.4              3954.5              3057.56             
15283               33.5                89                  55                  18                  122.37              2445.5              1842.5              1721.45             
15756               50.9                87                  54                  4                   86.17               2952.2              2748.6              2484.07             
15745               48.9                86                  50                  43                  438.23              4547.7              2445                1867.35             
11731               8.9                 84                  46                  1                   54.82               418.3               409.4               374.993             
53764               6.9                 82                  40                  3                   167.09              296.7               276                 222.802             
15153               18.9                80                  38                  22                  336.92              1134                718.2               504.819             
15611               46.9                80                  36                  4                   73.14               1876                1688.4              1602.32             
53939               4.9                 79                  35                  4                   17.53               191.1               171.5               162.91              
11172               15.9                78                  34                  5                   89.07               620.1               540.6               482.481             
15525               58.5                77                  34                  32                  446.46              3861                1989                1388.52             
39489               7                   76                  33                  12                  50.26               315                 231                 213.535             
39141               21.9                76                  32                  25                  152.16              1248.3              700.8               588.565             
53760               6.9                 75                  31                  2                   124.25              227.7               213.9               161.443             
15760               34.5                74                  31                  11                  75.07               1449                1069.5              1017.98             
39810               71.9                74                  26                  2                   15.91               2013.2              1869.4              1789.32             
15404               17.9                73                  25                  2                   48.13               483.3               447.5               422.213             
77894               32.9                73                  25                  1                   51.59               855.4               822.5               715.384             
15510               35.9                72                  18                  1                   121.9               682.1               646.2               514.799             
15945               48.9                71                  17                  2                   27.97               929.1               831.3               744.082             
====================================================================================================================================================================================
                                                                                                    TOTALES:            142897              108579              91858.2             
====================================================================================================================================================================================
