                                                               EMPRESA DE RELACIONES A DOMICILIO TP S.A.
                                                                            RELACION DE PLATOS VENDIDOS
====================================================================================================================================================================================
                                                            CANTIDAD DE PLATOS                                          MONTOS RECAUDADOS                                           
CODIGO              PRECIO              PREPARADOS          ATENDIDOS           NO ATENDIDOS        DESCUENTO           ESPERADO            BRUTO               RECIBIDO            
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
53265               12.9                150                 150                 58                  272.6               2683.2              1935                1816.5              
15319               47.9                148                 104                 0                   214.21              4981.6              4981.6              4445.11             
77493               23.9                147                 147                 52                  594.03              4756.1              3513.3              2872.09             
39955               73.9                145                 145                 51                  753.94              14484.4             10715.5             8270.16             
53377               3.9                 145                 125                 0                   139.07              487.5               487.5               446.754             
39536               15.5                137                 137                 69                  266.34              3193                2123.5              1981.48             
39160               15.5                135                 135                 44                  831.14              2774.5              2092.5              1605.2              
15136               60.5                132                 128                 0                   246.28              7744                7744                6754.03             
73428               19.5                130                 121                 0                   231.15              2359.5              2359.5              2147.64             
39199               10.5                125                 102                 0                   116.71              1071                1071                1003.14             
39265               49.9                125                 125                 7                   432.37              6586.8              6237.5              5095.78             
39695               36.9                119                 119                 45                  707.78              6051.6              4391.1              3124.99             
15724               31.5                119                 119                 46                  162.46              5197.5              3748.5              3542.03             
77910               22.9                117                 117                 53                  265.22              3893                2679.3              2452.39             
39584               15.5                116                 116                 65                  775.27              2805.5              1798                1398.76             
39738               18.9                112                 105                 0                   187.91              1984.5              1984.5              1785.07             
15479               51.9                110                 106                 0                   175.13              5501.4              5501.4              5000.54             
15665               50.9                108                 84                  0                   547.43              4275.6              4275.6              2904.36             
15365               44.9                107                 105                 0                   240.44              4714.5              4714.5              4043.4              
53518               15.9                105                 105                 78                  271.74              2909.7              1669.5              1534.51             
15116               49.9                103                 103                 60                  396.13              8133.7              5139.7              4342.6              
77381               32.9                102                 102                 29                  150.03              4309.9              3355.8              3165.29             
77690               32.9                101                 79                  0                   97.81               2599.1              2599.1              2470.81             
39431               12.5                100                 100                 67                  555.13              2087.5              1250                1016.97             
39851               73.9                99                  96                  0                   381.66              7094.4              7094.4              5280.24             
15864               32.5                97                  97                  5                   583.97              3315                3152.5              2399.86             
15621               33.5                97                  90                  0                   435.53              3015                3015                2316.73             
15297               51.9                93                  73                  0                   98.25               3788.7              3788.7              3483.16             
39227               7                   93                  91                  0                   147.9               637                 637                 577.3               
11611               15.9                92                  74                  0                   267.01              1176.6              1176.6              920.133             
39903               10.5                91                  78                  0                   274.38              819                 819                 623.695             
53546               9.9                 89                  85                  0                   212.64              841.5               841.5               744.563             
15419               37.9                87                  72                  0                   70.91               2728.8              2728.8              2529.12             
39747               7                   86                  73                  0                   257.17              511                 511                 439.373             
15823               36.9                84                  84                  18                  149.07              3763.8              3099.6              2857.41             
77606               24.9                82                  82                  24                  320.26              2639.4              2041.8              1543.64             
11871               54.9                80                  80                  3                   230.36              4556.7              4392                3547.46             
15608               27.9                80                  67                  0                   104.45              1869.3              1869.3              1733.14             
90766               25.9                79                  67                  0                   116.75              1735.3              1735.3              1588.06             
15197               47.5                78                  78                  51                  485.56              6127.5              3705                3047.89             
55338               22.9                77                  61                  0                   205.62              1396.9              1396.9              1128.89             
53814               9.9                 76                  76                  44                  411.11              1188                752.4               631.689             
77487               24.9                76                  76                  12                  219.46              2191.2              1892.4              1630.11             
11850               53.9                75                  75                  1                   99.81               4096.4              4042.5              3683.67             
15578               33.5                74                  72                  0                   170.11              2412                2412                2094.63             
77549               18.9                74                  71                  0                   378.97              1341.9              1341.9              952.292             
77572               18.9                73                  73                  28                  177.91              1908.9              1379.7              1215.75             
11751               8.9                 73                  73                  22                  111.14              845.5               649.7               608.401             
15142               52.9                72                  63                  0                   301.98              3332.7              3332.7              2670.62             
31815               30.9                71                  71                  24                  170.95              2935.5              2193.9              2046.02             
39137               12                  70                  60                  0                   120.69              720                 720                 636.9               
77703               24.9                70                  70                  11                  62.06               2016.9              1743                1662.2              
90758               25.9                68                  53                  0                   166.89              1372.7              1372.7              1185.64             
77971               23.9                68                  63                  0                   75.88               1505.7              1505.7              1389.64             
15378               33.5                65                  57                  0                   113.14              1909.5              1909.5              1664.98             
55330               24.9                65                  64                  0                   161.28              1593.6              1593.6              1404.41             
11171               15.9                64                  55                  0                   269.78              874.5               874.5               595.404             
15950               43.9                62                  62                  1                   163.96              2765.7              2721.8              2390.45             
11692               89.9                62                  58                  0                   288.26              5214.2              5214.2              3977.51             
77214               22.9                57                  57                  1                   90.27               1328.2              1305.3              1189.76             
73500               12.9                57                  57                  20                  126.15              993.3               735.3               679.847             
11471               8.9                 57                  57                  63                  160.8               1068                507.3               468.758             
39475               71.9                55                  55                  11                  243.34              4745.4              3954.5              3057.56             
15283               33.5                55                  55                  18                  122.37              2445.5              1842.5              1721.45             
15756               50.9                54                  54                  4                   86.17               2952.2              2748.6              2484.07             
77156               22.9                54                  54                  0                   159                 1236.6              1236.6              965.258             
11620               15.9                53                  51                  0                   72.23               810.9               810.9               754.097             
15745               48.9                50                  50                  43                  438.23              4547.7              2445                1867.35             
15921               29.5                48                  47                  0                   205.68              1386.5              1386.5              1046.79             
39864               7                   48                  44                  0                   152.99              308                 308                 245.568             
31644               33.9                48                  40                  0                   43.84               1356                1356                1268.7              
15392               18.9                47                  38                  0                   100.59              718.2               718.2               626.771             
53991               3.9                 47                  42                  0                   32.38               163.8               163.8               158.75              
11731               8.9                 46                  46                  1                   54.82               418.3               409.4               374.993             
31796               31.9                43                  40                  0                   183.37              1276                1276                926.283             
73410               12.9                42                  32                  0                   44.5                412.8               412.8               393.142             
53764               6.9                 40                  40                  3                   167.09              296.7               276                 222.802             
53477               15.9                40                  36                  0                   110                 572.4               572.4               461.631             
15153               18.9                38                  38                  22                  336.92              1134                718.2               504.819             
15611               46.9                36                  36                  4                   73.14               1876                1688.4              1602.32             
53939               4.9                 35                  35                  4                   17.53               191.1               171.5               162.91              
11172               15.9                34                  34                  5                   89.07               620.1               540.6               482.481             
15525               58.5                34                  34                  32                  446.46              3861                1989                1388.52             
39489               7                   33                  33                  12                  50.26               315                 231                 213.535             
77691               23.9                33                  32                  0                   11.26               764.8               764.8               740.58              
39141               21.9                32                  32                  25                  152.16              1248.3              700.8               588.565             
53760               6.9                 31                  31                  2                   124.25              227.7               213.9               161.443             
15760               34.5                31                  31                  11                  75.07               1449                1069.5              1017.98             
39442               21.9                31                  30                  0                   74.53               657                 657                 530.223             
53957               10.9                30                  23                  0                   54.21               250.7               250.7               224.811             
77762               23.9                29                  20                  0                   16.71               478                 478                 470.013             
15926               49.9                28                  22                  0                   28.96               1097.8              1097.8              988.08              
11621               15.9                28                  20                  0                   78.07               318                 318                 250.609             
11283               14.9                27                  22                  0                   70.88               327.8               327.8               269.714             
90365               25.9                27                  22                  0                   0                   569.8               569.8               569.8               
39987               15.5                26                  21                  0                   19.47               325.5               325.5               304.375             
39810               71.9                26                  26                  2                   15.91               2013.2              1869.4              1789.32             
53502               15.9                25                  22                  0                   97.45               349.8               349.8               292.603             
39896               128.9               25                  9                   0                   0                   1160.1              1160.1              1160.1              
15404               17.9                25                  25                  2                   48.13               483.3               447.5               422.213             
15488               16.9                25                  13                  0                   61.83               219.7               219.7               179.081             
77894               32.9                25                  25                  1                   51.59               855.4               822.5               715.384             
15592               33.9                24                  15                  0                   60.05               508.5               508.5               470.417             
11500               128.9               23                  17                  0                   0                   2191.3              2191.3              2191.3              
15539               21.9                22                  4                   0                   13.99               87.6                87.6                75.3448             
15272               59.9                18                  16                  0                   33.68               958.4               958.4               866.639             
15326               36.9                18                  16                  0                   82.4                590.4               590.4               421.479             
15510               35.9                18                  18                  1                   121.9               682.1               646.2               514.799             
15945               48.9                17                  17                  2                   27.97               929.1               831.3               744.082             
77419               31.9                16                  4                   0                   0                   127.6               127.6               127.6               
====================================================================================================================================================================================
                                                                                                    TOTALES:            243730              209412              177775              
