          REPORTE DE PRUEBA DE ARTICULOS
====================================================================================================================================================================================
     CODIGOS                             PRECIOS                             DESCUENTOS                          
     BIT-434                             375.09                              12.50                               
     SSE-115                             3243.58                             0.00                                
     NMV-644                             3272.48                             0.00                                
     MLE-193                             2779.41                             0.00                                
     YYK-309                             4079.44                             12.50                               
     QVJ-982                             1352.76                             0.00                                
     VZV-827                             1784.27                             0.00                                
     HFC-845                             3736.75                             12.50                               
     AVM-258                             2831.23                             0.00                                
     YUQ-590                             1979.07                             0.00                                
     FLJ- 40                             3703.37                             0.00                                
     EUZ-452                             3623.88                             12.50                               
     SPR-580                             404.35                              0.00                                
     WLL-607                             1525.04                             0.00                                
     UWA-476                             1191.39                             0.00                                
     YOT-530                             941.73                              12.50                               
     NSR-955                             2591.44                             0.00                                
     SJD-818                             3387.75                             0.00                                
     BCK-361                             1872.53                             9.70                                
     ZAF-449                             816.43                              0.00                                
     OBI-353                             2960.56                             12.50                               
     SNY-500                             3297.09                             0.00                                
     CSZ-863                             1713.57                             0.00                                
     TMJ- 43                             2400.79                             0.00                                
     MTF-868                             971.59                              0.00                                
     BMJ-772                             936.32                              0.00                                
     MYC-756                             1506.80                             9.70                                
     FCN-617                             4121.05                             0.00                                
     ONB-903                             653.67                              1.70                                
     VXS-438                             60.11                               0.00                                
     GLC-370                             552.24                              0.00                                
     OPT-996                             1367.48                             0.00                                
     PFD-286                             2776.02                             0.50                                
     KBY-991                             1101.08                             0.00                                
     KQQ-136                             1139.56                             0.00                                
     NSM-283                             936.81                              0.00                                
     ICX-503                             1221.02                             0.00                                
     LDR-510                             2701.87                             0.00                                
     PJG-338                             1067.80                             0.30                                
     ISB-205                             2976.43                             0.00                                
     UDR-957                             861.70                              7.50                                
     RAH-420                             157.01                              0.00                                
     JDQ-505                             1572.31                             0.00                                
     PPX-620                             2873.42                             0.00                                
     XZG-521                             704.27                              0.00                                
     VJI-529                             1102.67                             0.00                                
     JCW-489                             2064.97                             0.00                                
     OTS-581                             2653.10                             0.00                                
     UTN-601                             562.51                              0.00                                
     TZY-323                             2341.01                             0.00                                
     TXM-139                             1092.95                             9.50                                
     ADX-669                             1239.38                             0.00                                
     QRC-609                             1806.66                             0.00                                
     YJD-279                             1028.43                             0.00                                
     AHB-459                             685.50                              0.00                                
     MMA-577                             1780.30                             0.00                                
     VCL-867                             699.07                              0.00                                
     JDC- 28                             30.48                               0.00                                
     JXD-139                             586.02                              0.00                                
     KQA-580                             2907.92                             0.00                                
     XSD-310                             2259.93                             11.50                               
     YYU-726                             767.82                              0.00                                
     EVN-510                             2672.30                             0.00                                
     LZK-729                             2850.91                             0.00                                
     AQS-362                             233.05                              0.00                                
     AWT-354                             3409.22                             0.00                                
     CJE-310                             3643.39                             0.00                                
     KWP-672                             1625.30                             0.00                                
     DOV-560                             1203.14                             0.00                                
     RBE-789                             3303.07                             0.00                                
     KCO-488                             679.60                              0.00                                
     KSO-608                             914.17                              3.50                                
     TKM-141                             402.24                              0.00                                
     QUU-384                             2545.54                             0.00                                
     VRR-793                             241.71                              0.00                                
     SAM- 13                             2275.18                             0.00                                
     YMU-875                             3232.10                             0.00                                
     SSD-176                             567.71                              0.00                                
     DFJ-952                             3342.77                             0.00                                
     BZS-261                             3087.87                             0.00                                
     ARS-231                             327.62                              0.00                                
     SJQ-827                             1719.56                             0.00                                
     UJV-290                             2423.26                             0.00                                
     QTK- 83                             2682.73                             0.00                                
     EQY- 18                             301.73                              0.00                                
     OQI-373                             906.16                              4.30                                
     OTH-462                             531.04                              0.00                                
     XTE-383                             261.01                              0.00                                
     ZVA-180                             2903.13                             0.00                                
     BCN-855                             4015.92                             0.00                                
     PQH-935                             94.45                               0.00                                
     LYZ-614                             3510.84                             1.30                                
     FYF-898                             1160.46                             0.00                                
     OPJ- 39                             2765.64                             0.00                                
     CNN-411                             2296.29                             0.00                                
     KJX-387                             613.19                              0.00                                
     JFC-432                             307.67                              0.00                                
     EJW-346                             359.70                              0.00                                
     EBI-299                             2287.57                             0.00                                
     FEG-454                             1695.70                             0.00                                
     YEZ-591                             1320.03                             0.00                                
     UXG- 19                             934.91                              0.00                                
     FVB-607                             2953.07                             0.00                                
     RDT-761                             904.95                              0.00                                
     BWD- 36                             1086.34                             0.00                                
     TMN-884                             310.65                              0.00                                
     ZXK-295                             3679.43                             0.00                                
     DIQ-718                             390.80                              3.50                                
     BTO-226                             863.19                              0.00                                
     DFF- 34                             259.25                              0.00                                
     OFS-384                             805.22                              0.00                                
     YZD-580                             1582.29                             0.00                                
     OTW-288                             1119.18                             0.00                                
     UOD-420                             828.94                              0.00                                
     IDO-503                             3935.17                             0.00                                
     VDD-853                             1095.67                             6.70                                
     VTV-269                             854.48                              0.00                                
     XZR-640                             2390.58                             0.00                                
     DON-719                             360.69                              0.00                                
     HTY-123                             1173.33                             0.00                                
     LWG-915                             1101.47                             0.00                                
     JYQ- 45                             267.15                              0.00                                
     AWB-345                             800.37                              0.00                                
     YGV-332                             2517.66                             0.00                                
     HLR-109                             439.47                              0.00                                
     MQR-442                             271.66                              0.00                                
     GBD-525                             2700.95                             0.00                                
     DEV-433                             2698.74                             3.40                                
     OXP-732                             16504.47                            0.00                                
     FVQ-662                             1060.68                             0.00                                
     DEN-125                             562.46                              0.00                                
     CRU-  9                             2655.78                             0.00                                
     RSE- 49                             4037.51                             0.00                                
