REPORTE DE VENTAS
====================================================================================================================================================================================
CODIGO                              CANT. ART. VENDIDOS                 VENTA MAS ANTIGUA                   VENTA MAS RECIENTE                  TOTAL DE VENTAS                     
13245501                            56                                  01/09/2023                          22/11/2023                          114022.58                           
40112594                            14                                  15/09/2023                          25/11/2023                          22874.61                            
71463316                            20                                  15/09/2023                          23/11/2023                          46582.46                            
27912250                            22                                  04/09/2023                          26/10/2023                          40728.19                            
52097922                            29                                  12/09/2023                          27/11/2023                          36660.90                            
91897732                            11                                  18/09/2023                          25/11/2023                          45687.75                            
40348917                            31                                  06/09/2023                          20/11/2023                          88272.75                            
20864087                            23                                  03/09/2023                          31/10/2023                          41914.13                            
93160528                            11                                  06/09/2023                          21/11/2023                          23353.26                            
85949265                            26                                  09/10/2023                          16/11/2023                          43201.14                            
81114108                            31                                  07/09/2023                          25/11/2023                          33731.68                            
12663268                            31                                  30/09/2023                          02/11/2023                          18197.41                            
95015539                            0                                   16/11/2023                          16/11/2023                          0.00                                
43043986                            23                                  12/09/2023                          07/10/2023                          27099.55                            
25171011                            30                                  30/09/2023                          21/11/2023                          35977.08                            
45828535                            17                                  26/09/2023                          11/10/2023                          43259.16                            
97403853                            19                                  27/10/2023                          26/11/2023                          14852.17                            
89298238                            39                                  13/09/2023                          13/11/2023                          57764.28                            
87800799                            40                                  26/09/2023                          26/11/2023                          58138.16                            
44229880                            13                                  11/09/2023                          09/11/2023                          7178.61                             
42157219                            21                                  17/09/2023                          21/11/2023                          22184.50                            
43053402                            26                                  05/10/2023                          25/10/2023                          23833.91                            
45877001                            12                                  16/09/2023                          30/10/2023                          16801.87                            
31611146                            6                                   10/10/2023                          12/11/2023                          5654.08                             
71984468                            6                                   15/10/2023                          21/11/2023                          9994.05                             
89429489                            24                                  04/09/2023                          13/11/2023                          49063.84                            
48467976                            0                                   26/10/2023                          26/10/2023                          0.00                                
37110873                            20                                  05/09/2023                          15/11/2023                          21935.95                            
35584593                            11                                  27/09/2023                          18/11/2023                          24688.64                            
94080926                            22                                  23/09/2023                          09/11/2023                          44508.78                            
29337157                            15                                  13/09/2023                          06/11/2023                          25122.97                            
22777006                            2                                   13/10/2023                          08/11/2023                          7690.56                             
78757121                            33                                  14/09/2023                          26/11/2023                          55931.99                            
79475585                            2                                   14/09/2023                          07/10/2023                          2172.68                             
79464412                            22                                  13/09/2023                          11/11/2023                          19484.90                            
62324793                            24                                  21/09/2023                          27/11/2023                          55543.05                            
89863424                            14                                  29/09/2023                          28/10/2023                          23629.99                            
41036366                            10                                  14/09/2023                          19/10/2023                          11794.60                            
